FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,3/1/2021 5:23,33.93911,67.709953,55714,2443,49333,3938,Afghanistan,143.1193793,4.384894282
,,,Albania,3/1/2021 5:23,41.1533,20.1683,107167,1796,69773,35598,Albania,3723.921051,1.675889033
,,,Algeria,3/1/2021 5:23,28.0339,1.6596,113092,2983,78098,32011,Algeria,257.9003651,2.637675521
,,,Andorra,3/1/2021 5:23,42.5063,1.5218,10866,110,10446,310,Andorra,14063.28868,1.012332045
,,,Angola,3/1/2021 5:23,-11.2027,17.8739,20807,508,19322,977,Angola,63.30807015,2.441486038
,,,Antigua and Barbuda,3/1/2021 5:23,17.0608,-61.7964,730,14,301,415,Antigua and Barbuda,745.4456335,1.917808219
,,,Argentina,3/1/2021 5:23,-38.4161,-63.6167,2107365,51965,1905021,150379,Argentina,4662.747584,2.465875631
,,,Armenia,3/1/2021 5:23,40.0691,45.0382,172058,3192,163394,5472,Armenia,5806.426357,1.855188367
,,Australian Capital Territory,Australia,3/1/2021 5:23,-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.56365335,2.542372881
,,New South Wales,Australia,3/1/2021 5:23,-33.8688,151.2093,5180,54,0,5126,"New South Wales, Australia",63.80881991,1.042471042
,,Northern Territory,Australia,3/1/2021 5:23,-12.4634,130.8456,105,0,103,2,"Northern Territory, Australia",42.752443,0
,,Queensland,Australia,3/1/2021 5:23,-27.4698,153.0251,1331,6,1313,12,"Queensland, Australia",26.01896198,0.450788881
,,South Australia,Australia,3/1/2021 5:23,-34.9285,138.6007,616,4,606,6,"South Australia, Australia",35.06974096,0.649350649
,,Tasmania,Australia,3/1/2021 5:23,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
,,Victoria,Australia,3/1/2021 5:23,-37.8136,144.9631,20481,820,19650,11,"Victoria, Australia",308.9186866,4.003710756
,,Western Australia,Australia,3/1/2021 5:23,-31.9505,115.8605,913,9,901,3,"Western Australia, Australia",34.70691097,0.985761227
,,,Austria,3/1/2021 5:23,47.5162,14.5501,459440,8561,430415,20464,Austria,5101.261325,1.863355389
,,,Azerbaijan,3/1/2021 5:23,40.1431,47.5769,234537,3220,228768,2549,Azerbaijan,2313.176368,1.372917706
,,,Bahamas,3/1/2021 5:23,25.025885,-78.035889,8519,179,7309,1031,Bahamas,2166.317438,2.101185585
,,,Bahrain,3/1/2021 5:23,26.0275,50.55,122394,449,115089,6856,Bahrain,7192.949154,0.366848048
,,,Bangladesh,3/1/2021 5:23,23.685,90.3563,546216,8408,496924,40884,Bangladesh,331.6643672,1.539317779
,,,Barbados,3/1/2021 5:23,13.1939,-59.5432,3068,33,2407,628,Barbados,1067.609467,1.075619296
,,,Belarus,3/1/2021 5:23,53.7098,27.9534,287306,1976,277995,7335,Belarus,3040.493597,0.687768442
,,Antwerp,Belgium,3/1/2021 5:23,51.2195,4.4024,97082,0,0,97082,"Antwerp, Belgium",5225.120103,0
,,Brussels,Belgium,3/1/2021 5:23,50.8503,4.3517,95431,0,0,95431,"Brussels, Belgium",7896.374309,0
,,East Flanders,Belgium,3/1/2021 5:23,51.0362,3.7373,83471,0,0,83471,"East Flanders, Belgium",5509.404223,0
,,Flemish Brabant,Belgium,3/1/2021 5:23,50.9167,4.5833,59531,0,0,59531,"Flemish Brabant, Belgium",5193.884005,0
,,Hainaut,Belgium,3/1/2021 5:23,50.5257,4.0621,116535,0,0,116535,"Hainaut, Belgium",8669.204406,0
,,Liege,Belgium,3/1/2021 5:23,50.4496,5.8492,105510,0,0,105510,"Liege, Belgium",9531.234191,0
,,Limburg,Belgium,3/1/2021 5:23,50.9739,5.342,38444,0,0,38444,"Limburg, Belgium",4398.385443,0
,,Luxembourg,Belgium,3/1/2021 5:23,50.0547,5.4677,21879,0,0,21879,"Luxembourg, Belgium",7686.605443,0
,,Namur,Belgium,3/1/2021 5:23,50.331,4.8221,40407,0,0,40407,"Namur, Belgium",8174.176908,0
,,Unknown,Belgium,3/1/2021 5:23,,,14159,22077,0,-7918,"Unknown, Belgium",,155.9220284
,,Walloon Brabant,Belgium,3/1/2021 5:23,50.4,4.35,29987,0,0,29987,"Walloon Brabant, Belgium",7429.899479,0
,,West Flanders,Belgium,3/1/2021 5:23,51.0536,3.1458,69075,0,0,69075,"West Flanders, Belgium",5776.486959,0
,,,Belize,3/1/2021 5:23,17.1899,-88.4976,12293,315,11836,142,Belize,3091.637514,2.562433905
,,,Benin,3/1/2021 5:23,9.3077,2.3158,5434,70,4248,1116,Benin,44.8231564,1.288185499
,,,Bhutan,3/1/2021 5:23,27.5142,90.4336,867,1,865,1,Bhutan,112.3621717,0.115340254
,,,Bolivia,3/1/2021 5:23,-16.2902,-63.5887,249010,11649,193032,44329,Bolivia,2133.208099,4.678125376
,,,Bosnia and Herzegovina,3/1/2021 5:23,43.9159,17.6791,130979,5071,115847,10061,Bosnia and Herzegovina,3992.270213,3.871613007
,,,Botswana,3/1/2021 5:23,-22.3285,24.6849,28371,310,23244,4817,Botswana,1206.442354,1.092665045
,,Acre,Brazil,3/1/2021 5:23,-9.0238,-70.812,57534,998,46623,9913,"Acre, Brazil",6523.610017,1.734626482
,,Alagoas,Brazil,3/1/2021 5:23,-9.5713,-36.782,131746,2999,125307,3440,"Alagoas, Brazil",3947.614834,2.276349946
,,Amapa,Brazil,3/1/2021 5:23,0.902,-52.003,83663,1140,60476,22047,"Amapa, Brazil",9892.388951,1.362609517
,,Amazonas,Brazil,3/1/2021 5:23,-3.4168,-65.8561,315966,10860,269142,35964,"Amazonas, Brazil",7623.563883,3.437078673
,,Bahia,Brazil,3/1/2021 5:23,-12.5797,-41.7007,684037,11819,648593,23625,"Bahia, Brazil",4599.166655,1.727830512
,,Ceara,Brazil,3/1/2021 5:23,-5.4984,-39.3206,425372,11284,312489,101599,"Ceara, Brazil",4657.997884,2.652736899
,,Distrito Federal,Brazil,3/1/2021 5:23,-15.7998,-47.8645,296694,4838,283000,8856,"Distrito Federal, Brazil",9839.722373,1.630636278
,,Espirito Santo,Brazil,3/1/2021 5:23,-19.1834,-40.3089,326270,6406,307019,12845,"Espirito Santo, Brazil",8118.895649,1.963404542
,,Goias,Brazil,3/1/2021 5:23,-15.827,-49.8362,395813,8517,378377,8919,"Goias, Brazil",5639.684177,2.151773691
,,Maranhao,Brazil,3/1/2021 5:23,-4.9609,-45.2744,219307,5052,204229,10026,"Maranhao, Brazil",3099.666284,2.303620039
,,Mato Grosso,Brazil,3/1/2021 5:23,-12.6819,-56.9211,249418,5713,234677,9028,"Mato Grosso, Brazil",7157.997811,2.290532359
,,Mato Grosso do Sul,Brazil,3/1/2021 5:23,-20.7722,-54.7852,181528,3319,169343,8866,"Mato Grosso do Sul, Brazil",6532.166769,1.828368075
,,Minas Gerais,Brazil,3/1/2021 5:23,-18.5122,-44.555,878705,18565,799509,60631,"Minas Gerais, Brazil",4150.945607,2.112768221
