FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021-03-01 05:23:01,33.93911,67.709953,55714,2443,49333,3938,Afghanistan,143.11937927177527,4.384894281509136
,,,Albania,2021-03-01 05:23:01,41.1533,20.1683,107167,1796,69773,35598,Albania,3723.921050802696,1.675889033004563
,,,Algeria,2021-03-01 05:23:01,28.0339,1.6596,113092,2983,78098,32011,Algeria,257.900365106481,2.637675520814912
,,,Andorra,2021-03-01 05:23:01,42.5063,1.5218,10866,110,10446,310,Andorra,14063.288681809358,1.0123320449107307
,,,Angola,2021-03-01 05:23:01,-11.2027,17.8739,20807,508,19322,977,Angola,63.30807014657095,2.4414860383524775
,,Guangdong,China,2021-03-01 05:23:01,23.3417,113.4244,2212,8,2158,46,"Guangdong, China",1.9495857570950117,0.3616636528028933
,,Guangxi,China,2021-03-01 05:23:01,23.8298,108.7881,267,2,265,0,"Guangxi, China",0.5420219244823387,0.7490636704119851
,,Guizhou,China,2021-03-01 05:23:01,26.8154,106.8748,147,2,145,0,"Guizhou, China",0.4083333333333333,1.3605442176870748
,,Hainan,China,2021-03-01 05:23:01,19.1959,109.7453,171,6,165,0,"Hainan, China",1.8308351177730195,3.508771929824561
1083,Limestone,Alabama,US,2021-03-01 05:23:01,34.81185586,-86.98310072,9359,134,0,9225,"Limestone, Alabama, US",9461.659000151645,1.431776899241372
1085,Lowndes,Alabama,US,2021-03-01 05:23:01,32.1597283,-86.65158371,1310,51,0,1259,"Lowndes, Alabama, US",13469.052025498664,3.8931297709923665
1087,Macon,Alabama,US,2021-03-01 05:23:01,32.38759944,-85.69267724,1420,43,0,1377,"Macon, Alabama, US",7859.1985831303955,3.028169014084507
